job_role,main_skill,additional_skills,education,experience_years,projects_count,certifications_count,is_user_ready_for_job,targeted_job,skills_required_to_learn
Flutter Developer,"Dart, Flutter","Git, Docker, Linux, Firebase, AWS",Diploma,1-3,4,1,Yes,Flutter Developer,None
Frontend Developer,"HTML, CSS, JavaScript","MongoDB, REST API, AWS, Firebase, DSA",MCA,3-5,4,0,No,Frontend Developer,"HTML, CSS, JavaScript"
Backend Developer,"Java, Spring Boot, Node.js","Git, DSA",Diploma,3-5,6,3,Yes,Backend Developer,None
Backend Developer,"Java, Spring Boot, Node.js","Git, DSA, System Design",B.Sc,3-5,1,0,No,Backend Developer,"Node.js, Java, Spring Boot"
Java Developer,"Java, OOP, Spring","REST API, Linux, Docker, AWS, Firebase",B.Sc,1-3,3,3,Yes,Java Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","REST API, CI/CD, MongoDB, AWS, Git",BCA,Fresher,1,2,No,ML Engineer,Deep Learning
Backend Developer,"Java, Spring Boot, Node.js","REST API, MongoDB",B.Tech,Fresher,4,0,No,Backend Developer,"Spring Boot, Java"
Python Developer,"Python, Flask, Django","DSA, Git",M.Sc,1-3,1,4,No,Python Developer,Django
Android Developer,"Java, Kotlin, Android SDK","DSA, Git",BCA,3-5,6,3,Yes,Android Developer,None
Android Developer,"Java, Kotlin, Android SDK","Firebase, System Design",MCA,3-5,3,1,Yes,Android Developer,None
Backend Developer,"Java, Spring Boot, Node.js","REST API, AWS, Firebase, Linux, Docker",Diploma,1-3,0,3,No,Backend Developer,"Java, Spring Boot"
Full Stack Developer,"JavaScript, React, Node.js","Docker, Linux, MongoDB",BCA,0-1,3,3,Yes,Full Stack Developer,None
Flutter Developer,"Dart, Flutter","Docker, System Design, AWS, MongoDB",M.Sc,3-5,0,2,No,Flutter Developer,Dart
Python Developer,"Python, Flask, Django","AWS, Linux, DSA",Diploma,3-5,2,3,Yes,Python Developer,None
Android Developer,"Java, Kotlin, Android SDK","AWS, Docker, REST API, Git",BCA,0-1,1,1,No,Android Developer,Kotlin
ML Engineer,"Python, Deep Learning, TensorFlow","Docker, Git, REST API",M.Sc,3-5,5,4,Yes,ML Engineer,None
Full Stack Developer,"JavaScript, React, Node.js","AWS, Linux",B.Sc,Fresher,1,1,No,Full Stack Developer,Node.js
Flutter Developer,"Dart, Flutter","Docker, Linux",B.Sc,Fresher,3,3,Yes,Flutter Developer,None
Data Scientist,"Python, Machine Learning, Statistics","Firebase, REST API, System Design, Linux, AWS",BCA,1-3,0,4,No,Data Scientist,Machine Learning
Flutter Developer,"Dart, Flutter","DSA, Firebase, AWS",BCA,0-1,3,2,Yes,Flutter Developer,None
Full Stack Developer,"JavaScript, React, Node.js","Docker, Linux, MongoDB, REST API, System Design",MCA,3-5,3,0,No,Full Stack Developer,Node.js
Data Scientist,"Python, Machine Learning, Statistics","CI/CD, MongoDB, Docker, Git",B.Sc,0-1,0,2,No,Data Scientist,Statistics
Android Developer,"Java, Kotlin, Android SDK","MongoDB, Firebase, CI/CD, REST API, DSA",MCA,Fresher,2,1,Yes,Android Developer,None
Data Analyst,"Python, SQL, Excel","Firebase, Docker",B.Sc,1-3,5,2,Yes,Data Analyst,None
Flutter Developer,"Dart, Flutter","System Design, AWS",B.Sc,0-1,6,3,Yes,Flutter Developer,None
Backend Developer,"Java, Spring Boot, Node.js","REST API, Linux",MCA,1-3,6,2,Yes,Backend Developer,None
Python Developer,"Python, Flask, Django","Linux, AWS",MCA,3-5,0,0,No,Python Developer,Python
ML Engineer,"Python, Deep Learning, TensorFlow","Firebase, AWS, Git",M.Sc,0-1,6,2,Yes,ML Engineer,None
Frontend Developer,"HTML, CSS, JavaScript","Linux, REST API, MongoDB",B.Sc,0-1,0,0,No,Frontend Developer,"HTML, JavaScript"
Backend Developer,"Java, Spring Boot, Node.js","Docker, System Design, MongoDB, Linux",B.Tech,3-5,4,4,Yes,Backend Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","CI/CD, Firebase, MongoDB, REST API",B.Sc,3-5,4,4,Yes,ML Engineer,None
Frontend Developer,"HTML, CSS, JavaScript","CI/CD, Linux",MCA,Fresher,2,3,Yes,Frontend Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","CI/CD, Git, MongoDB, Linux",B.Tech,1-3,4,3,Yes,ML Engineer,None
Data Analyst,"Python, SQL, Excel","CI/CD, Git",B.Sc,0-1,2,2,Yes,Data Analyst,None
Frontend Developer,"HTML, CSS, JavaScript","Firebase, System Design, REST API, Docker",MCA,1-3,6,1,Yes,Frontend Developer,None
Backend Developer,"Java, Spring Boot, Node.js","System Design, REST API",M.Sc,1-3,1,3,No,Backend Developer,"Spring Boot, Node.js"
Java Developer,"Java, OOP, Spring","System Design, DSA",BCA,0-1,2,1,Yes,Java Developer,None
Android Developer,"Java, Kotlin, Android SDK","MongoDB, REST API, CI/CD, Linux, Docker",B.Tech,3-5,6,0,No,Android Developer,"Android SDK, Kotlin, Java"
ML Engineer,"Python, Deep Learning, TensorFlow","Docker, Linux, Git, Firebase",BCA,1-3,1,1,No,ML Engineer,"TensorFlow, Deep Learning"
